<number of tasks>
133
<cycle time>
278
<task times>
1 14
2 19
3 9
4 5
5 2
6 4
7 14
8 1
9 16
10 17
11 1
12 6
13 1
14 11
15 9
16 19
17 19
18 1
19 12
20 1
21 18
22 11
23 19
24 12
25 15
26 20
27 6
28 7
29 15
30 6
31 8
32 8
33 19
34 4
35 10
36 11
37 18
38 11
39 13
40 9
41 1
42 13
43 15
44 20
45 2
46 2
47 6
48 5
49 19
50 3
51 17
52 17
53 5
54 1
55 14
56 12
57 18
58 2
59 1
60 19
61 19
62 20
63 7
64 7
65 8
66 8
67 8
68 12
69 19
70 7
71 8
72 16
73 9
74 5
75 2
76 2
77 7
78 5
79 19
80 7
81 6
82 1
83 2
84 11
85 18
86 13
87 11
88 1
89 10
90 9
91 14
92 16
93 20
94 15
95 9
96 18
97 6
98 6
99 9
100 2
101 2
102 11
103 5
104 16
105 10
106 6
107 7
108 8
109 19
110 9
111 17
112 15
113 11
114 19
115 15
116 5
117 20
118 20
119 13
120 20
121 19
122 6
123 8
124 7
125 9
126 3
127 16
128 3
129 16
130 13
131 20
132 2
133 17
<precedence relations>
1 2 1
1 3 1
2 4 1
3 11 1
3 12 1
3 31 2
4 5 2
4 31 2
5 32 2
5 35 1
6 7 1
6 17 1
6 43 1
7 34 2
8 9 1
9 10 2
10 61 1
11 5 2
12 13 1
12 14 1
12 15 1
12 48 1
13 32 2
14 19 1
14 22 1
15 20 1
15 21 1
16 33 2
17 29 2
18 30 2
19 25 2
20 26 1
20 27 1
20 49 1
21 25 2
22 33 2
23 34 2
24 28 2
25 28 2
25 55 1
26 28 2
26 52 1
27 29 2
27 53 1
28 30 2
29 30 2
30 10 2
30 58 1
32 6 1
32 16 1
32 40 1
33 23 1
33 24 1
34 8 1
34 18 1
35 36 1
35 37 1
35 38 1
36 39 1
36 40 1
37 41 2
37 45 2
38 42 1
38 43 1
38 44 2
39 41 2
40 44 2
40 46 2
41 44 2
42 7 1
42 45 2
43 46 2
44 47 1
45 10 1
46 34 1
47 8 1
48 49 1
48 50 1
48 51 1
49 52 1
49 53 1
50 15 1
50 54 2
50 58 2
51 55 1
51 56 1
51 57 2
52 54 2
53 57 2
53 59 2
54 57 2
55 58 2
56 59 2
57 60 1
59 28 1
60 29 1
61 62 1
61 63 1
62 64 1
63 71 1
63 72 1
63 91 2
64 65 2
64 91 2
65 92 2
65 95 1
66 67 1
66 77 1
66 103 1
67 94 2
68 69 1
69 70 2
71 65 2
72 73 1
72 74 1
72 75 1
72 108 1
73 92 2
74 79 1
74 82 1
75 80 1
75 81 1
76 93 2
77 89 2
78 90 2
79 85 2
80 86 1
80 87 1
80 109 1
81 85 2
82 93 2
83 94 2
84 88 2
85 88 2
85 115 1
86 88 2
86 112 1
87 89 2
87 113 1
88 90 2
89 90 2
90 70 2
90 118 1
90 121 1
92 66 1
92 76 1
92 100 1
93 83 1
93 84 1
94 68 1
94 78 1
95 96 1
95 97 1
95 98 1
96 99 1
96 100 1
97 101 2
97 105 2
98 102 1
98 103 1
98 104 2
99 101 2
100 104 2
100 106 2
101 104 2
102 67 1
102 105 2
103 106 2
104 107 1
105 70 1
105 123 1
106 94 1
107 68 1
108 109 1
108 110 1
108 111 1
109 112 1
109 113 1
110 75 1
110 114 2
110 118 2
111 115 1
111 116 1
111 117 2
112 114 2
113 117 2
113 119 2
114 117 2
115 118 2
116 119 2
117 120 1
118 124 1
119 88 1
120 89 1
121 122 1
121 123 1
121 124 1
122 125 1
122 126 1
123 127 2
123 131 2
124 128 1
124 129 1
124 130 2
125 127 2
126 130 2
126 132 2
127 130 2
128 131 2
129 132 2
130 133 1
<end>
