<number of tasks>
45
<cycle time>
79
<task times>
1 9
2 9
3 10
4 10
5 17
6 17
7 13
8 13
9 20
10 20
11 10
12 11
13 6
14 22
15 11
16 19
17 12
18 3
19 7
20 4
21 55
22 14
23 27
24 29
25 26
26 6
27 5
28 24
29 4
30 5
31 7
32 4
33 15
34 3
35 7
36 9
37 4
38 7
39 5
40 4
41 21
42 12
43 6
44 5
45 5
<hazardous>
1 0
2 1
3 0
4 0
5 0
6 1
7 0
8 0
9 0
10 0
11 0
12 1
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 1
30 0
31 0
32 1
33 1
34 1
35 0
36 1
37 1
38 0
39 0
40 0
41 0
42 0
43 0
44 1
45 0
<Demand>
1 39
2 37
3 89
4 78
5 78
6 88
7 75
8 73
9 98
10 76
11 97
12 78
13 73
14 21
15 5
16 14
17 45
18 96
19 3
20 64
21 22
22 36
23 78
24 37
25 64
26 51
27 21
28 97
29 11
30 46
31 82
32 25
33 40
34 12
35 97
36 34
37 18
38 2
39 41
40 1
41 9
42 34
43 98
44 27
45 2
<Precedence relations>
1 3 1
1 7 1
2 4 1
2 8 1
3 5 1
4 6 1
5 9 1
6 10 1
7 9 1
7 14 1
8 10 1
8 14 1
9 41 1
10 41 1
11 13 1
12 13 1
12 37 1
13 14 1
13 15 1
14 17 1
14 25 1
14 29 1
14 30 1
14 31 1
14 32 1
15 16 1
15 18 1
15 23 1
15 24 1
16 19 1
17 26 1
17 27 1
18 19 1
19 20 1
19 33 1
20 21 1
21 22 1
22 28 1
23 33 1
24 33 1
25 26 1
26 38 1
27 28 1
27 33 1
28 38 1
29 41 1
30 41 1
31 41 1
32 41 1
33 34 1
33 35 1
33 36 1
34 38 1
35 40 1
36 38 1
37 43 1
38 40 1
39 41 1
40 41 1
41 42 1
42 44 1
42 45 1
<end>
