<number of tasks>
47
<cycle time>
105 
<task times>
1 14
2 28
3 3
4 2
5 3
6 4
7 8
8 12
9 4
10 28
11 3
12 4
13 6
14 1
15 20
16 5
17 28
18 4
19 3
20 12
21 3
22 3
23 28
24 28
25 12
26 76
27 6
28 28
29 3
30 6
31 3
32 98
33 14
34 2
35 6
36 7
37 60
38 6
39 60
40 8
41 12
42 3
43 12
44 3
45 28
46 2
47 3
<hazardous>
1 0
2 0
3 1
4 0
5 1
6 0
7 0
8 0
9 0
10 0
11 1
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 1
20 0
21 1
22 1
23 0
24 0
25 1
26 0
27 0
28 0
29 1
30 0
31 1
32 0
33 0
34 0
35 0
36 1
37 0
38 0
39 0
40 0
41 0
42 1
43 0
44 1
45 0
46 0
47 1
<Demand>
1 1
2 1
3 3
4 1
5 5
6 1
7 1
8 1
9 2
10 1
11 4
12 1
13 1
14 2
15 1
16 1
17 1
18 2
19 7
20 1
21 6
22 7
23 1
24 1
25 6
26 1
27 2
28 1
29 4
30 1
31 7
32 1
33 2
34 2
35 1
36 4
37 1
38 1
39 1
40 3
41 1
42 3
43 1
44 4
45 1
46 3
47 7
<Precedence relations>
1 2 1
1 32 1
2 3 1
2 4 1
5 6 1
5 32 1
8 9 1
8 10 1
9 11 1
9 32 1
10 11 1
10 12 1
13 14 1
14 19 1
15 16 1
16 17 1
17 18 1
18 20 1
18 22 1
18 32 1
18 47 1
19 26 1
20 21 1
22 23 1
22 24 1
23 25 1
24 25 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
32 33 1
33 34 1
33 35 1
34 36 1
35 36 1
36 37 1
36 43 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
43 44 1
44 45 1
45 46 1
<end>
