<number of tasks>
53
<cycle time>
3507
<task times>
1 971
2 142
3 142
4 142
5 103
6 96
7 99
8 1207
9 160
10 180
11 82
12 60
13 112
14 420
15 1556
16 236
17 259
18 125
19 601
20 80
21 80
22 70
23 89
24 89
25 105
26 330
27 132
28 69
29 99
30 70
31 70
32 158
33 191
34 70
35 53
36 50
37 125
38 353
39 70
40 128
41 65
42 1775
43 91
44 91
45 113
46 487
47 138
48 80
49 80
50 65
51 40
52 742
53 1085
<hazardous>
1 0
2 0
3 0
4 0
5 1
6 0
7 0
8 0
9 0
10 0
11 1
12 0
13 1
14 0
15 0
16 0
17 0
18 0
19 1
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 1
30 1
31 0
32 0
33 0
34 0
35 0
36 1
37 0
38 0
39 0
40 0
41 0
42 1
43 1
44 1
45 0
46 0
47 0
48 0
49 1
50 1
51 0
52 0
53 0
<Demand>
1 33
2 64
3 67
4 29
5 88
6 15
7 75
8 20
9 16
10 31
11 68
12 63
13 83
14 65
15 59
16 13
17 51
18 24
19 4
20 86
21 94
22 8
23 83
24 45
25 3
26 38
27 5
28 88
29 11
30 3
31 58
32 27
33 94
34 51
35 52
36 61
37 69
38 72
39 85
40 92
41 7
42 76
43 69
44 54
45 68
46 24
47 51
48 73
49 83
50 16
51 82
52 1
53 100
<Precedence relations>
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
2 36 1
3 36 1
4 9 1
5 9 1
6 9 1
7 9 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
12 14 1
12 15 1
13 16 1
13 17 1
13 18 1
14 22 1
15 16 1
15 17 1
16 29 1
16 30 1
16 31 1
17 19 1
18 42 1
19 20 1
19 21 1
19 22 1
20 23 1
21 24 1
22 25 1
23 36 1
24 36 1
25 26 1
26 27 1
27 28 1
28 29 1
28 30 1
28 31 1
28 32 1
28 33 1
28 34 1
29 35 1
30 35 1
31 35 1
32 35 1
33 35 1
34 35 1
35 36 1
36 37 1
37 38 1
37 39 1
37 40 1
38 41 1
39 41 1
40 41 1
41 42 1
42 43 1
42 44 1
42 45 1
42 46 1
42 47 1
43 48 1
44 49 1
45 51 1
45 52 1
46 50 1
47 51 1
47 52 1
48 51 1
48 52 1
49 51 1
49 52 1
50 51 1
50 52 1
51 53 1
52 53 1
<end>
