<number of tasks>
58
<cycle time>
58
<task times>
1 10
2 53
3 41
4 36
5 35
6 17
7 34
8 23
9 14
10 52
11 33
12 34
13 12
14 52
15 12
16 33
17 44
18 7
19 15
20 13
21 29
22 37
23 43
24 23
25 24
26 9
27 16
28 12
29 26
30 22
31 51
32 47
33 34
34 23
35 12
36 52
37 12
38 33
39 44
40 7
41 15
42 13
43 29
44 37
45 43
46 23
47 24
48 9
49 16
50 12
51 26
52 12
53 52
54 12
55 33
56 44
57 7
58 15
<hazardous>
1 1
2 0
3 1
4 0
5 0
6 0
7 1
8 0
9 0
10 0
11 1
12 1
13 1
14 0
15 1
16 0
17 1
18 0
19 1
20 1
21 1
22 0
23 1
24 0
25 1
26 1
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 1
39 1
40 0
41 0
42 0
43 0
44 1
45 0
46 0
47 0
48 0
49 1
50 0
51 1
52 0
53 1
54 1
55 0
56 0
57 1
58 0
<Demand>
1 48
2 100
3 100
4 45
5 38
6 37
7 14
8 79
9 9
10 36
11 54
12 25
13 2
14 89
15 30
16 3
17 3
18 68
19 95
20 10
21 83
22 45
23 93
24 68
25 82
26 10
27 65
28 38
29 99
30 95
31 56
32 35
33 21
34 59
35 81
36 34
37 15
38 65
39 73
40 90
41 26
42 83
43 96
44 75
45 79
46 8
47 24
48 78
49 72
50 4
51 53
52 36
53 29
54 51
55 98
56 22
57 83
58 80
<Precedence relations>
1 9 1
2 25 1
3 21 1
3 22 1
4 10 1
5 36 1
6 23 1
6 24 1
7 43 1
8 44 1
9 11 1
11 13 1
11 14 1
11 15 1
12 17 1
13 17 1
14 17 1
15 17 1
16 18 1
17 20 1
18 19 1
19 23 1
20 21 1
20 25 1
21 26 1
21 44 1
22 27 1
23 31 1
24 31 1
25 38 1
26 29 1
27 30 1
28 32 1
28 33 1
29 31 1
30 34 1
31 36 1
32 45 1
33 35 1
34 36 1
35 43 1
36 37 1
36 38 1
37 39 1
37 40 1
37 41 1
38 52 1
39 43 1
40 43 1
41 42 1
42 43 1
43 45 1
44 45 1
45 46 1
45 48 1
45 49 1
46 47 1
46 50 1
47 51 1
48 55 1
49 58 1
50 58 1
51 52 1
52 53 1
53 54 1
54 55 1
54 56 1
55 57 1
56 57 1
57 58 1
<end>
