<number of tasks>
70
<cycle time>
160
<task times>
1 17
2 66
3 54
4 52
5 6
6 88
7 21
8 128
9 68
10 70
11 85
12 21
13 134
14 135
15 94
16 90
17 50
18 143
19 19
20 54
21 50
22 40
23 73
24 12
25 152
26 42
27 45
28 74
29 26
30 11
31 31
32 50
33 102
34 46
35 35
36 40
37 2
38 1
39 3
40 13
41 16
42 25
43 21
44 43
45 30
46 83
47 89
48 56
49 59
50 43
51 11
52 26
53 44
54 121
55 38
56 68
57 22
58 7
59 16
60 32
61 25
62 27
63 156
64 28
65 15
66 26
67 18
68 72
69 23
70 27
<hazardous>
1 1
2 1
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 1
21 0
22 0
23 0
24 0
25 1
26 0
27 0
28 0
29 1
30 1
31 0
32 1
33 0
34 0
35 0
36 1
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 1
47 0
48 0
49 0
50 0
51 0
52 0
53 1
54 1
55 1
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 1
64 1
65 0
66 0
67 0
68 1
69 1
70 1
<Demand>
1 21
2 50
3 25
4 46
5 35
6 29
7 81
8 16
9 98
10 46
11 22
12 88
13 6
14 2
15 8
16 29
17 84
18 91
19 2
20 43
21 2
22 5
23 28
24 50
25 58
26 46
27 20
28 45
29 85
30 84
31 40
32 82
33 84
34 31
35 4
36 46
37 93
38 13
39 1
40 64
41 44
42 47
43 80
44 29
45 24
46 95
47 94
48 39
49 4
50 98
51 86
52 27
53 58
54 20
55 23
56 3
57 84
58 21
59 21
60 17
61 85
62 100
63 56
64 30
65 22
66 63
67 77
68 70
69 33
70 25
<Precedence relations>
1 2 1
1 41 1
1 69 1
1 70 1
2 3 1
3 4 1
3 68 1
4 6 1
4 7 1
5 6 1
5 24 1
5 30 1
6 8 1
7 8 1
8 12 1
9 10 1
10 11 1
11 12 1
12 13 1
12 14 1
13 23 1
14 23 1
15 16 1
16 17 1
16 18 1
17 19 1
18 19 1
19 20 1
19 22 1
19 57 1
20 21 1
21 23 1
22 23 1
23 25 1
23 31 1
23 33 1
24 25 1
25 26 1
25 27 1
25 28 1
25 29 1
26 35 1
27 35 1
28 35 1
29 35 1
30 31 1
31 32 1
32 35 1
33 34 1
34 35 1
35 36 1
35 44 1
35 48 1
35 51 1
35 53 1
35 56 1
35 60 1
35 61 1
35 62 1
36 37 1
37 38 1
38 39 1
39 40 1
40 42 1
41 42 1
42 43 1
43 50 1
44 45 1
45 46 1
46 47 1
47 50 1
48 49 1
49 50 1
51 52 1
52 54 1
53 54 1
54 55 1
57 58 1
58 59 1
59 60 1
61 65 1
62 63 1
63 64 1
64 65 1
64 66 1
64 67 1
<end>
