<number of tasks>
75
<cycle time>
43
<task times>
1 23
2 24
3 25
4 26
5 23
6 22
7 6
8 22
9 23
10 21
11 22
12 15
13 5
14 23
15 4
16 26
17 21
18 5
19 24
20 25
21 26
22 26
23 24
24 27
25 20
26 23
27 25
28 13
29 3
30 11
31 21
32 22
33 21
34 22
35 25
36 8
37 22
38 24
39 22
40 21
41 6
42 26
43 22
44 6
45 21
46 25
47 11
48 22
49 21
50 25
51 22
52 22
53 23
54 22
55 22
56 25
57 23
58 21
59 22
60 22
61 22
62 22
63 21
64 27
65 23
66 2
67 26
68 25
69 24
70 22
71 24
72 4
73 22
74 10
75 25
<hazardous>
1 0
2 0
3 0
4 1
5 0
6 0
7 1
8 0
9 0
10 0
11 1
12 0
13 0
14 0
15 0
16 1
17 1
18 0
19 0
20 0
21 0
22 1
23 0
24 0
25 0
26 1
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 1
35 1
36 0
37 0
38 1
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 1
51 0
52 0
53 0
54 0
55 0
56 0
57 1
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 1
67 1
68 0
69 0
70 1
71 0
72 0
73 0
74 0
75 0
<Demand>
1 32
2 92
3 64
4 64
5 83
6 50
7 86
8 92
9 68
10 32
11 12
12 12
13 100
14 10
15 10
16 51
17 32
18 21
19 60
20 39
21 73
22 16
23 3
24 42
25 78
26 80
27 42
28 16
29 36
30 40
31 80
32 61
33 57
34 15
35 15
36 13
37 82
38 69
39 76
40 67
41 50
42 59
43 16
44 91
45 88
46 29
47 67
48 31
49 99
50 6
51 100
52 10
53 12
54 27
55 69
56 68
57 56
58 63
59 29
60 43
61 40
62 44
63 5
64 72
65 91
66 93
67 67
68 33
69 46
70 88
71 73
72 68
73 89
74 46
75 37
<Precedence relations>
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
2 15 1
3 13 1
3 24 1
4 8 1
4 14 1
4 16 1
5 12 1
5 15 1
6 9 1
6 10 1
6 11 1
6 13 1
9 20 1
9 24 1
10 18 1
12 19 1
13 22 1
15 17 1
15 20 1
15 23 1
16 21 1
16 26 1
17 30 1
18 26 1
18 30 1
20 27 1
21 33 1
24 25 1
25 28 1
25 30 1
25 33 1
25 34 1
26 31 1
26 32 1
26 41 1
27 29 1
27 35 1
27 36 1
31 37 1
31 39 1
32 44 1
32 45 1
33 41 1
35 38 1
35 42 1
36 40 1
36 43 1
39 51 1
40 46 1
42 47 1
43 48 1
43 50 1
46 48 1
46 51 1
47 49 1
47 50 1
47 52 1
47 53 1
49 59 1
49 61 1
49 62 1
50 54 1
50 55 1
50 60 1
50 62 1
52 56 1
52 57 1
53 58 1
55 63 1
58 65 1
59 64 1
59 66 1
62 67 1
66 68 1
68 69 1
68 70 1
68 71 1
68 72 1
68 73 1
68 74 1
68 75 1
<end>
