<number of tasks>
83
<cycle time>
8412
<task times>
1 1673
2 985
3 1836
4 973
5 1700
6 2881
7 2231
8 1040
9 1793
10 1250
11 700
12 464
13 500
14 1133
15 577
16 483
17 880
18 667
19 600
20 233
21 408
22 847
23 767
24 850
25 780
26 912
27 748
28 1863
29 714
30 1004
31 713
32 642
33 629
34 1234
35 1143
36 1266
37 792
38 1251
39 1310
40 663
41 494
42 1288
43 792
44 578
45 594
46 578
47 622
48 578
49 564
50 578
51 578
52 578
53 578
54 578
55 578
56 578
57 578
58 578
59 578
60 578
61 578
62 578
63 578
64 578
65 578
66 578
67 578
68 578
69 467
70 887
71 396
72 1296
73 1100
74 2543
75 764
76 357
77 701
78 1164
79 286
80 2100
81 450
82 1300
83 3691
<hazardous>
1 1
2 1
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 1
11 0
12 0
13 1
14 1
15 1
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 1
24 0
25 0
26 1
27 0
28 0
29 1
30 1
31 1
32 0
33 1
34 1
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 1
51 0
52 0
53 1
54 0
55 0
56 0
57 0
58 1
59 0
60 0
61 0
62 1
63 1
64 0
65 0
66 0
67 1
68 0
69 0
70 0
71 1
72 0
73 0
74 0
75 0
76 1
77 0
78 1
79 0
80 1
81 0
82 0
83 1
<Demand>
1 17
2 26
3 12
4 83
5 35
6 62
7 7
8 91
9 21
10 80
11 13
12 48
13 59
14 94
15 52
16 36
17 65
18 69
19 12
20 96
21 70
22 95
23 85
24 79
25 7
26 100
27 22
28 41
29 83
30 87
31 96
32 8
33 66
34 65
35 49
36 41
37 56
38 96
39 28
40 22
41 36
42 30
43 2
44 96
45 1
46 12
47 54
48 7
49 36
50 95
51 67
52 76
53 66
54 32
55 86
56 35
57 57
58 81
59 27
60 44
61 85
62 52
63 46
64 16
65 39
66 12
67 17
68 70
69 79
70 64
71 84
72 31
73 63
74 12
75 95
76 3
77 62
78 20
79 12
80 69
81 71
82 6
83 89
<Precedence relations>
1 2 1
2 3 1
2 4 1
2 5 1
3 6 1
4 6 1
4 7 1
5 8 1
6 9 1
6 10 1
7 11 1
8 77 1
8 78 1
9 12 1
10 13 1
10 14 1
10 25 1
11 15 1
12 16 1
13 17 1
13 18 1
13 20 1
14 19 1
15 20 1
15 39 1
16 77 1
16 78 1
17 21 1
17 22 1
17 28 1
18 23 1
19 24 1
20 26 1
21 27 1
22 27 1
23 74 1
24 28 1
24 29 1
25 32 1
26 74 1
27 69 1
28 32 1
29 30 1
30 31 1
31 39 1
32 33 1
32 34 1
32 35 1
32 36 1
33 37 1
34 77 1
34 78 1
35 77 1
35 78 1
36 38 1
36 39 1
37 40 1
38 41 1
39 42 1
39 43 1
39 44 1
39 75 1
40 77 1
40 78 1
41 45 1
42 77 1
42 78 1
43 77 1
43 78 1
44 46 1
45 47 1
46 48 1
47 49 1
48 50 1
49 69 1
50 51 1
51 52 1
52 53 1
53 54 1
54 55 1
55 56 1
56 57 1
57 58 1
58 59 1
59 60 1
60 61 1
61 62 1
62 63 1
63 64 1
64 65 1
65 66 1
66 67 1
67 68 1
68 74 1
68 75 1
69 70 1
69 71 1
70 72 1
71 73 1
72 73 1
73 74 1
73 75 1
74 76 1
75 76 1
76 77 1
76 78 1
77 79 1
78 79 1
79 80 1
79 81 1
80 82 1
81 83 1
82 83 1
<end>
