<number of tasks>
89
<cycle time>
83
<task times>
1 28
2 17
3 7
4 10
5 12
6 16
7 13
8 8
9 13
10 24
11 16
12 24
13 12
14 20
15 22
16 22
17 22
18 47
19 6
20 12
21 6
22 22
23 7
24 14
25 68
26 15
27 8
28 74
29 32
30 11
31 18
32 15
33 42
34 27
35 38
36 38
37 26
38 35
39 31
40 8
41 14
42 8
43 8
44 8
45 17
46 7
47 19
48 12
49 24
50 26
51 22
52 14
53 27
54 60
55 4
56 2
57 1
58 9
59 5
60 6
61 7
62 12
63 2
64 11
65 14
66 6
67 21
68 14
69 1
70 6
71 21
72 11
73 14
74 28
75 12
76 11
77 30
78 22
79 14
80 31
81 18
82 16
83 7
84 38
85 8
86 31
87 29
88 12
89 18
<hazardous>
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 1
9 1
10 0
11 1
12 1
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 1
27 0
28 0
29 0
30 1
31 0
32 0
33 0
34 1
35 0
36 0
37 1
38 0
39 1
40 0
41 0
42 0
43 1
44 0
45 0
46 0
47 1
48 0
49 0
50 0
51 1
52 0
53 1
54 1
55 1
56 0
57 0
58 1
59 1
60 0
61 1
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 1
71 0
72 1
73 0
74 0
75 1
76 0
77 1
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 1
<Demand>
1 60
2 91
3 16
4 69
5 94
6 84
7 29
8 63
9 34
10 90
11 50
12 9
13 2
14 11
15 68
16 55
17 48
18 100
19 78
20 47
21 53
22 23
23 29
24 76
25 66
26 99
27 30
28 24
29 10
30 12
31 39
32 48
33 2
34 41
35 69
36 99
37 3
38 66
39 36
40 63
41 5
42 28
43 25
44 26
45 98
46 90
47 78
48 20
49 33
50 24
51 99
52 29
53 28
54 44
55 38
56 93
57 30
58 64
59 24
60 4
61 66
62 26
63 96
64 94
65 64
66 77
67 24
68 28
69 73
70 49
71 19
72 57
73 16
74 52
75 30
76 28
77 72
78 16
79 15
80 65
81 71
82 2
83 2
84 1
85 83
86 95
87 37
88 57
89 86
<Precedence relations>
1 2 1
2 3 1
3 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
5 10 1
6 11 1
7 12 1
8 18 1
9 18 1
10 14 1
11 12 1
12 13 1
13 14 1
14 15 1
14 16 1
15 17 1
16 54 1
17 18 1
18 19 1
18 20 1
19 22 1
20 21 1
20 28 1
21 54 1
22 23 1
23 24 1
24 25 1
25 26 1
25 27 1
25 29 1
26 37 1
27 33 1
28 29 1
29 31 1
30 54 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
35 37 1
36 38 1
37 38 1
38 39 1
39 40 1
39 41 1
39 42 1
39 43 1
40 44 1
41 53 1
42 53 1
43 45 1
44 52 1
45 46 1
46 47 1
47 48 1
47 49 1
49 50 1
50 51 1
51 52 1
52 53 1
53 68 1
53 69 1
53 70 1
53 71 1
54 55 1
55 56 1
56 57 1
57 58 1
57 59 1
57 60 1
57 61 1
57 62 1
57 63 1
57 64 1
57 65 1
57 66 1
58 67 1
59 67 1
60 67 1
61 67 1
62 67 1
63 67 1
64 67 1
65 67 1
66 67 1
67 73 1
68 72 1
69 72 1
70 72 1
71 73 1
72 78 1
72 80 1
73 74 1
74 75 1
74 76 1
75 77 1
76 81 1
77 78 1
78 79 1
79 81 1
80 81 1
80 87 1
81 82 1
81 84 1
81 85 1
82 83 1
83 86 1
84 86 1
85 86 1
86 87 1
86 89 1
87 88 1
87 89 1
<end>
