<number of tasks>
94
<cycle time>
324
<task times>
1 158
2 42
3 17
4 24
5 71
6 66
7 50
8 55
9 30
10 28
11 113
12 114
13 57
14 65
15 15
16 11
17 10
18 19
19 8
20 17
21 57
22 40
23 17
24 11
25 17
26 27
27 17
28 18
29 16
30 18
31 50
32 18
33 13
34 21
35 63
36 8
37 63
38 9
39 20
40 72
41 30
42 69
43 27
44 9
45 41
46 38
47 76
48 31
49 11
50 29
51 48
52 8
53 171
54 48
55 43
56 18
57 94
58 9
59 19
60 24
61 8
62 34
63 62
64 12
65 8
66 47
67 27
68 18
69 52
70 65
71 72
72 51
73 58
74 53
75 76
76 93
77 86
78 76
79 9
80 14
81 55
82 32
83 22
84 35
85 63
86 59
87 149
88 40
89 24
90 123
91 25
92 115
93 103
94 54
<hazardous>
1 0
2 0
3 0
4 0
5 0
6 0
7 1
8 0
9 0
10 1
11 0
12 0
13 0
14 0
15 0
16 0
17 1
18 0
19 1
20 0
21 1
22 0
23 0
24 1
25 1
26 1
27 0
28 1
29 0
30 1
31 0
32 1
33 0
34 1
35 0
36 0
37 0
38 0
39 0
40 1
41 1
42 0
43 0
44 0
45 1
46 0
47 0
48 0
49 0
50 0
51 1
52 0
53 0
54 1
55 0
56 0
57 0
58 0
59 0
60 1
61 1
62 0
63 0
64 0
65 0
66 1
67 0
68 1
69 1
70 0
71 1
72 0
73 1
74 1
75 0
76 1
77 0
78 1
79 0
80 0
81 1
82 0
83 0
84 0
85 0
86 1
87 0
88 0
89 0
90 0
91 1
92 1
93 1
94 0
<Demand>
1 4
2 88
3 74
4 65
5 58
6 63
7 15
8 30
9 43
10 49
11 13
12 49
13 52
14 97
15 59
16 100
17 38
18 60
19 47
20 47
21 18
22 47
23 85
24 66
25 12
26 24
27 42
28 58
29 15
30 69
31 15
32 68
33 93
34 15
35 70
36 99
37 76
38 35
39 73
40 16
41 21
42 75
43 42
44 60
45 11
46 54
47 88
48 61
49 62
50 6
51 84
52 96
53 6
54 92
55 85
56 75
57 70
58 96
59 92
60 63
61 47
62 3
63 88
64 28
65 80
66 74
67 16
68 90
69 45
70 99
71 43
72 36
73 56
74 60
75 69
76 38
77 28
78 22
79 25
80 66
81 7
82 83
83 61
84 69
85 10
86 73
87 20
88 27
89 97
90 19
91 79
92 75
93 57
94 42
<Precedence relations>
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
2 11 1
2 17 1
3 12 1
4 11 1
4 16 1
5 11 1
5 13 1
5 16 1
5 18 1
6 11 1
6 13 1
6 15 1
6 19 1
7 42 1
8 29 1
9 11 1
10 19 1
10 37 1
10 48 1
10 50 1
11 14 1
12 20 1
12 52 1
12 61 1
13 82 1
14 21 1
14 22 1
14 23 1
14 24 1
14 25 1
14 26 1
14 27 1
14 28 1
14 29 1
14 30 1
14 31 1
14 32 1
15 81 1
16 75 1
17 82 1
18 75 1
19 75 1
20 78 1
21 39 1
21 40 1
21 41 1
21 53 1
21 60 1
21 71 1
22 38 1
22 49 1
22 58 1
22 72 1
23 34 1
23 35 1
24 37 1
24 44 1
25 33 1
25 56 1
25 57 1
25 60 1
25 63 1
25 65 1
25 73 1
26 41 1
26 43 1
27 54 1
27 55 1
27 56 1
27 58 1
27 62 1
28 33 1
28 35 1
28 40 1
28 43 1
28 49 1
28 51 1
28 52 1
28 54 1
29 75 1
30 36 1
30 42 1
30 59 1
31 74 1
32 36 1
32 44 1
32 45 1
32 46 1
32 47 1
32 48 1
32 50 1
32 60 1
32 69 1
33 78 1
34 78 1
35 78 1
36 82 1
37 61 1
37 62 1
37 64 1
37 66 1
37 67 1
37 68 1
37 69 1
37 70 1
37 71 1
37 72 1
37 73 1
38 82 1
39 82 1
40 78 1
41 78 1
42 74 1
43 78 1
44 75 1
45 75 1
46 75 1
46 76 1
47 75 1
48 75 1
49 78 1
50 75 1
51 78 1
52 78 1
53 76 1
53 77 1
54 78 1
55 77 1
56 77 1
57 76 1
57 77 1
58 77 1
59 82 1
60 77 1
61 77 1
62 77 1
63 77 1
64 74 1
65 74 1
66 75 1
66 76 1
67 74 1
68 82 1
69 75 1
69 77 1
70 76 1
70 77 1
71 76 1
72 76 1
73 77 1
74 82 1
75 82 1
76 82 1
77 78 1
78 79 1
78 80 1
79 81 1
80 81 1
81 82 1
82 83 1
83 84 1
83 85 1
84 86 1
85 86 1
86 87 1
87 88 1
88 89 1
88 90 1
89 92 1
90 91 1
90 93 1
92 94 1
<end>
