<number of tasks>
28
<cycle time>
216
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
6.00
<Recycling value>
1 11
2 48
3 24
4 45
5 29
6 9
7 22
8 51
9 24
10 29
11 18
12 53
13 33
14 21
15 11
16 50
17 27
18 10
19 41
20 16
21 8
22 31
23 44
24 19
25 48
26 45
27 42
28 42
<Cost of performing task>
1 7.2
2 17.4
3 26.0
4 12.9
5 14.1
6 10.3
7 8.7
8 27.4
9 20.5
10 25.5
11 21.5
12 11.2
13 18.5
14 9.1
15 18.0
16 28.7
17 10.8
18 6.1
19 7.8
20 18.7
21 22.3
22 20.8
23 29.7
24 13.3
25 15.8
26 9.8
27 15.8
28 15.6
<GHG saved when resuing part>
1 31.1
2 24.8
3 9.6
4 7.0
5 22.0
6 30.3
7 3.2
8 36.1
9 9.7
10 5.6
11 1.0
12 6.2
13 16.3
14 24.9
15 6.5
16 2.7
17 24.3
18 37.4
19 1.5
20 2.9
21 18.8
22 2.7
23 20.3
24 31.7
25 0.8
26 2.3
27 14.9
28 7.1
<GHG producted when removing part>
1 0.9
2 0.0
3 0.8
4 0.0
5 0.9
6 0.1
7 0.6
8 0.3
9 0.2
10 0.3
11 0.9
12 0.3
13 0.1
14 0.4
15 0.4
16 0.8
17 1.0
18 0.5
19 0.9
20 0.5
21 0.8
22 0.5
23 0.9
24 0.5
25 0.6
26 0.8
27 0.0
28 0.7
<task times>
1 70
2 59
3 33
4 6
5 1
6 27
7 17
8 62
9 31
10 53
11 21
12 19
13 108
14 52
15 5
16 8
17 97
18 8
19 47
20 67
21 17
22 8
23 3
24 21
25 107
26 3
27 2
28 72
<precedence relations>
1 3 1
1 4 1
1 5 1
1 8 1
1 19 1
1 21 1
1 22 1
1 23 1
1 24 1
1 26 1
2 6 1
2 17 1
3 28 1
4 28 1
5 28 1
6 7 1
7 18 1
8 9 1
9 10 1
10 11 1
10 12 1
11 15 1
12 13 1
13 14 1
13 16 1
14 28 1
15 28 1
16 28 1
17 28 1
18 28 1
19 20 1
20 28 1
21 28 1
22 28 1
23 28 1
24 25 1
25 28 1
26 27 1
27 28 1
<end>
