<number of tasks>
29
<cycle time>
30
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
2.00
<Recycling value>
1 9
2 8
3 4
4 16
5 14
6 10
7 15
8 9
9 10
10 18
11 6
12 16
13 4
14 17
15 13
16 5
17 8
18 7
19 2
20 9
21 10
22 18
23 3
24 14
25 12
26 8
27 5
28 13
29 6
<Cost of performing task>
1 5.1
2 2.8
3 3.0
4 9.6
5 5.6
6 4.6
7 6.4
8 3.5
9 7.9
10 3.3
11 5.8
12 2.3
13 8.2
14 3.7
15 6.6
16 8.2
17 8.8
18 6.6
19 7.7
20 2.8
21 9.6
22 8.2
23 6.7
24 6.1
25 4.0
26 6.6
27 8.4
28 4.2
29 9.4
<GHG saved when resuing part>
1 3.3
2 13.2
3 17.1
4 13.5
5 6.3
6 1.3
7 39.0
8 13.8
9 8.4
10 8.2
11 8.2
12 7.5
13 8.8
14 1.4
15 7.3
16 6.2
17 3.2
18 24.3
19 33.3
20 7.1
21 5.6
22 8.0
23 4.2
24 16.8
25 5.2
26 37.7
27 35.6
28 7.2
29 6.0
<GHG producted when removing part>
1 0.8
2 0.9
3 0.5
4 0.2
5 0.7
6 0.0
7 0.5
8 0.5
9 0.3
10 1.0
11 0.5
12 0.1
13 0.4
14 0.1
15 0.6
16 0.1
17 0.4
18 0.7
19 0.2
20 0.7
21 0.7
22 0.5
23 0.8
24 0.5
25 0.4
26 0.3
27 0.7
28 0.4
29 0.3
<task times>
1 7
2 19
3 15
4 5
5 12
6 10
7 8
8 16
9 2
10 6
11 21
12 10
13 9
14 4
15 14
16 7
17 14
18 17
19 10
20 16
21 1
22 9
23 25
24 14
25 14
26 2
27 10
28 7
29 20
<precedence relations>
1 3 1
1 25 1
2 6 1
2 26 1
3 4 1
4 5 1
5 8 1
5 13 1
6 8 1
7 9 1
7 12 1
7 25 1
8 11 1
8 16 1
9 10 1
10 14 1
10 15 1
11 17 1
12 15 1
13 17 1
14 16 1
15 19 1
16 18 1
17 20 1
18 22 1
19 21 1
20 23 1
21 22 1
22 23 1
23 24 1
23 28 1
24 29 1
25 29 1
26 27 1
27 29 1
28 29 1
<end>
