<number of tasks>
35
<cycle time>
41
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
2.00
<Recycling value>
1 5
2 4
3 3
4 15
5 8
6 14
7 10
8 2
9 3
10 7
11 16
12 5
13 15
14 18
15 13
16 14
17 4
18 6
19 5
20 6
21 17
22 5
23 13
24 7
25 9
26 8
27 16
28 15
29 14
30 17
31 16
32 3
33 13
34 5
35 7
<Cost of performing task>
1 8.7
2 5.0
3 3.9
4 8.0
5 6.2
6 6.1
7 8.4
8 2.0
9 7.1
10 6.1
11 6.1
12 5.8
13 2.2
14 7.9
15 6.5
16 6.1
17 6.9
18 7.9
19 8.6
20 2.9
21 9.1
22 9.6
23 4.0
24 9.9
25 2.7
26 7.6
27 4.8
28 6.6
29 3.1
30 2.5
31 9.9
32 6.5
33 8.9
34 9.7
35 8.8
<GHG saved when resuing part>
1 0.2
2 26.4
3 36.3
4 13.8
5 5.7
6 28.5
7 8.6
8 7.2
9 7.0
10 37.1
11 7.4
12 5.8
13 34.9
14 5.9
15 35.7
16 34.9
17 15.1
18 2.1
19 2.7
20 15.3
21 4.7
22 5.1
23 24.4
24 7.9
25 35.7
26 22.8
27 0.8
28 25.6
29 17.0
30 35.4
31 16.8
32 35.9
33 21.7
34 23.3
35 26.0
<GHG producted when removing part>
1 0.3
2 0.4
3 0.7
4 0.1
5 0.5
6 0.8
7 0.4
8 0.6
9 0.4
10 0.2
11 0.1
12 0.7
13 0.0
14 0.0
15 0.2
16 0.5
17 0.7
18 0.5
19 0.7
20 0.7
21 0.6
22 0.7
23 0.3
24 0.7
25 0.3
26 0.7
27 0.5
28 0.4
29 0.2
30 0.8
31 0.7
32 0.2
33 0.9
34 0.7
35 0.7
<task times>
1 29
2 3
3 5
4 22
5 6
6 14
7 2
8 5
9 22
10 30
11 23
12 30
13 23
14 2
15 19
16 29
17 2
18 2
19 19
20 29
21 6
22 10
23 16
24 23
25 5
26 5
27 5
28 40
29 2
30 5
31 5
32 1
33 40
34 2
35 2
<precedence relations>
1 2 1
1 5 1
1 7 1
1 10 1
1 12 1
2 3 1
3 4 1
4 11 1
5 6 1
6 7 1
6 8 1
7 14 1
7 18 1
8 9 1
9 13 1
10 14 1
11 28 1
11 33 1
12 18 1
13 28 1
13 33 1
14 15 1
15 16 1
16 21 1
17 20 1
18 19 1
19 20 1
20 21 1
21 22 1
21 25 1
21 30 1
21 32 1
22 23 1
23 24 1
24 27 1
25 26 1
26 27 1
27 28 1
27 33 1
27 34 1
28 29 1
30 31 1
31 32 1
32 33 1
33 35 1
<end>
