<number of tasks>
89
<cycle time>
15
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
1.00
<Recycling value>
1 7
2 6
3 9
4 2
5 2
6 4
7 6
8 5
9 3
10 3
11 8
12 7
13 5
14 3
15 8
16 8
17 2
18 8
19 7
20 5
21 2
22 3
23 7
24 6
25 6
26 1
27 8
28 5
29 2
30 6
31 4
32 6
33 6
34 7
35 4
36 2
37 6
38 8
39 8
40 6
41 4
42 2
43 3
44 3
45 7
46 6
47 4
48 3
49 4
50 5
51 8
52 5
53 7
54 5
55 5
56 4
57 2
58 5
59 2
60 2
61 2
62 1
63 3
64 5
65 7
66 6
67 8
68 3
69 6
70 3
71 6
72 4
73 9
74 5
75 8
76 3
77 4
78 8
79 4
80 1
81 6
82 2
83 2
84 6
85 3
86 4
87 3
88 5
89 5
<Cost of performing task>
1 2.3
2 3.2
3 5.0
4 3.9
5 3.1
6 4.2
7 4.2
8 2.8
9 1.1
10 3.0
11 1.2
12 1.9
13 4.0
14 3.8
15 3.0
16 3.3
17 4.5
18 4.5
19 3.1
20 3.0
21 4.6
22 3.4
23 2.4
24 1.8
25 1.7
26 2.6
27 3.9
28 3.9
29 2.5
30 1.4
31 1.1
32 3.9
33 1.9
34 4.1
35 3.1
36 4.0
37 1.4
38 2.2
39 4.0
40 3.8
41 2.6
42 2.4
43 3.8
44 2.8
45 3.3
46 4.7
47 3.1
48 3.0
49 4.8
50 3.0
51 5.0
52 5.0
53 4.1
54 2.0
55 2.2
56 2.4
57 3.4
58 1.4
59 2.4
60 2.1
61 1.6
62 2.7
63 1.7
64 2.6
65 1.7
66 1.6
67 4.9
68 4.3
69 4.0
70 3.9
71 3.9
72 4.9
73 1.8
74 4.3
75 4.5
76 4.3
77 2.8
78 3.1
79 4.8
80 3.5
81 3.0
82 3.7
83 3.1
84 1.5
85 2.1
86 2.8
87 3.3
88 2.8
89 1.9
<GHG saved when resuing part>
1 25.1
2 37.9
3 9.8
4 25.0
5 2.9
6 22.4
7 32.3
8 2.4
9 39.4
10 38.1
11 8.5
12 4.5
13 10.2
14 29.7
15 25.8
16 29.9
17 21.3
18 18.9
19 4.5
20 5.4
21 24.1
22 38.1
23 37.8
24 9.5
25 17.7
26 28.6
27 3.9
28 6.6
29 12.0
30 2.2
31 3.9
32 37.9
33 0.7
34 36.7
35 1.1
36 0.4
37 10.8
38 31.1
39 28.3
40 3.6
41 17.7
42 23.6
43 14.4
44 23.4
45 16.0
46 2.0
47 4.3
48 23.7
49 6.8
50 6.7
51 9.7
52 14.1
53 10.9
54 8.0
55 15.1
56 33.7
57 9.6
58 13.0
59 3.3
60 2.8
61 4.6
62 6.3
63 18.5
64 5.0
65 5.7
66 17.5
67 28.5
68 6.0
69 25.0
70 1.3
71 10.1
72 13.2
73 29.3
74 8.0
75 1.3
76 7.2
77 23.9
78 32.2
79 25.6
80 27.0
81 6.8
82 33.2
83 39.3
84 1.1
85 2.7
86 8.2
87 8.1
88 7.1
89 0.0
<GHG producted when removing part>
1 0.7
2 0.6
3 0.5
4 0.8
5 0.5
6 0.0
7 0.7
8 0.7
9 0.1
10 0.9
11 0.5
12 0.6
13 0.8
14 0.6
15 0.3
16 0.8
17 0.1
18 0.0
19 0.4
20 0.1
21 1.0
22 0.6
23 0.6
24 0.8
25 0.4
26 0.5
27 0.4
28 0.3
29 0.8
30 0.5
31 0.9
32 0.1
33 0.8
34 0.8
35 0.1
36 0.1
37 0.7
38 0.6
39 0.4
40 0.7
41 0.5
42 0.6
43 0.7
44 0.1
45 0.7
46 0.6
47 0.6
48 0.8
49 1.0
50 0.8
51 0.6
52 0.4
53 0.9
54 0.1
55 0.6
56 0.9
57 0.7
58 0.7
59 0.4
60 0.4
61 0.1
62 0.2
63 0.1
64 0.2
65 0.0
66 0.0
67 0.1
68 0.5
69 0.6
70 0.1
71 0.5
72 0.3
73 0.4
74 0.3
75 0.3
76 0.2
77 0.8
78 0.7
79 0.9
80 0.6
