<number of tasks>
94
<cycle time>
301
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
9.00
<Recycling value>
1 39
2 74
3 66
4 70
5 22
6 34
7 72
8 47
9 61
10 61
11 19
12 51
13 10
14 23
15 42
16 16
17 59
18 57
19 63
20 73
21 48
22 56
23 45
24 43
25 39
26 16
27 16
28 41
29 78
30 35
31 65
32 31
33 50
34 72
35 30
36 13
37 50
38 48
39 55
40 38
41 72
42 50
43 38
44 49
45 41
46 80
47 45
48 40
49 55
50 48
51 28
52 13
53 60
54 39
55 61
56 29
57 49
58 66
59 10
60 37
61 66
62 65
63 78
64 50
65 52
66 54
67 78
68 58
69 58
70 20
71 36
72 59
73 48
74 56
75 41
76 67
77 75
78 66
79 71
80 38
81 64
82 21
83 68
84 74
85 12
86 70
87 45
88 40
89 59
90 45
91 38
92 23
93 74
94 29
<Cost of performing task>
1 11.8
2 21.3
3 31.6
4 40.2
5 9.2
6 36.5
7 40.7
8 39.7
9 17.9
10 13.8
11 15.4
12 28.8
13 9.5
14 42.5
15 33.8
16 9.6
17 12.2
18 11.5
19 13.8
20 16.2
21 14.6
22 15.2
23 37.2
24 18.4
25 34.8
26 14.8
27 38.5
28 20.3
29 34.2
30 10.2
31 42.0
32 11.6
33 19.7
34 36.3
35 27.9
36 23.1
37 10.1
38 12.2
39 15.4
40 39.4
41 33.7
42 42.3
43 27.1
44 19.2
45 42.6
46 21.9
47 9.2
48 35.9
49 33.0
50 44.4
51 12.0
52 23.5
53 38.2
54 40.9
55 24.9
56 36.2
57 23.2
58 9.8
59 35.2
60 23.6
61 33.7
62 20.3
63 19.1
64 27.8
65 23.7
66 9.1
67 29.9
68 33.9
69 40.1
70 28.9
71 11.0
72 33.2
73 27.7
74 38.7
75 42.6
76 22.4
77 16.3
78 18.8
79 38.8
80 23.3
81 34.6
82 43.4
83 43.7
84 38.2
85 33.0
86 26.8
87 15.9
88 23.8
89 13.4
90 30.6
91 26.8
92 12.8
93 13.8
94 29.2
<GHG saved when resuing part>
1 7.7
2 18.1
3 9.7
4 0.2
5 25.6
6 37.9
7 5.4
8 23.8
9 7.7
10 25.7
11 3.6
12 13.2
13 20.6
14 11.8
15 6.2
16 7.2
17 9.7
18 25.9
19 34.1
20 1.7
21 12.1
22 2.1
23 16.0
24 4.4
25 33.6
26 34.9
27 5.9
28 32.7
29 8.8
30 13.0
31 1.5
32 18.9
33 25.9
34 0.8
35 7.8
36 30.2
37 32.2
38 19.4
39 7.3
40 7.0
41 4.2
42 8.3
43 5.7
44 30.8
45 5.5
46 22.6
47 19.6
48 4.2
49 20.1
50 9.2
51 3.1
52 27.3
53 7.9
54 1.3
55 10.1
56 34.0
57 31.0
58 23.5
59 39.3
60 9.0
