<number of tasks>
45
<cycle time>
62
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
3.00
<Recycling value>
1 6
2 22
3 11
4 22
5 3
6 24
7 20
8 16
9 20
10 13
11 21
12 27
13 10
14 23
15 4
16 15
17 3
18 25
19 25
20 15
21 8
22 14
23 7
24 26
25 18
26 10
27 14
28 7
29 15
30 4
31 17
32 12
33 16
34 18
35 21
36 17
37 4
38 17
39 7
40 26
41 9
42 18
43 19
44 20
45 16
<Cost of performing task>
1 9.8
2 12.3
3 11.4
4 10.6
5 3.6
6 7.9
7 13.7
8 6.2
9 4.4
10 8.0
11 12.7
12 11.9
13 12.6
14 14.7
15 8.4
16 14.0
17 3.6
18 6.7
19 9.8
20 13.2
21 14.1
22 4.7
23 3.9
24 14.9
25 10.8
26 11.3
27 5.9
28 4.1
29 4.0
30 6.1
31 5.6
32 13.2
33 7.6
34 10.9
35 12.0
36 10.1
37 9.6
38 11.6
39 4.9
40 8.1
41 11.9
42 9.2
43 9.0
44 10.1
45 4.1
<task times>
1 9
2 9
3 10
4 10
5 17
6 17
7 13
8 13
9 20
10 20
11 10
12 11
13 6
14 22
15 11
16 19
17 12
18 3
19 7
20 4
21 55
22 14
23 27
24 29
25 26
26 6
27 5
28 24
29 4
30 5
31 7
32 4
33 15
34 3
35 7
36 9
37 4
38 7
39 5
40 4
41 21
42 12
43 6
44 5
45 5
<Precedence relations>
1 3 1
1 7 1
2 4 1
2 8 1
3 5 1
4 6 1
5 9 1
6 10 1
7 9 1
7 14 1
8 10 1
8 14 1
9 41 1
10 41 1
11 13 1
12 13 1
12 37 1
13 14 1
13 15 1
14 17 1
14 25 1
14 29 1
14 30 1
14 31 1
14 32 1
15 16 1
15 18 1
15 23 1
15 24 1
16 19 1
17 26 1
17 27 1
18 19 1
19 20 1
19 33 1
20 21 1
21 22 1
22 28 1
23 33 1
24 33 1
25 26 1
26 38 1
27 28 1
27 33 1
28 38 1
29 41 1
30 41 1
31 41 1
32 41 1
33 34 1
33 35 1
33 36 1
34 38 1
35 40 1
36 38 1
37 43 1
38 40 1
39 41 1
40 41 1
41 42 1
42 44 1
42 45 1
<end>
