<number of tasks>
47
<cycle time>
105
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
5.00
<Recycling value>
1 27
2 35
3 26
4 43
5 9
6 28
7 14
8 29
9 44
10 39
11 44
12 35
13 23
14 25
15 43
16 44
17 33
18 17
19 45
20 42
21 8
22 24
23 25
24 40
25 32
26 25
27 10
28 14
29 43
30 35
31 13
32 19
33 20
34 24
35 13
36 31
37 17
38 41
39 34
40 28
41 24
42 13
43 25
44 31
45 8
46 39
47 32
<Cost of performing task>
1 11.6
2 7.2
3 14.7
4 5.3
5 22.0
6 5.7
7 16.8
8 7.4
9 13.8
10 20.7
11 18.3
12 10.1
13 22.6
14 7.5
15 18.0
16 8.7
17 22.9
18 11.5
19 5.9
20 7.3
21 9.1
22 14.3
23 14.0
24 9.7
25 19.5
26 15.7
27 10.1
28 10.6
29 5.7
30 10.0
31 14.2
32 8.3
33 8.2
34 8.3
35 7.8
36 8.5
37 15.4
38 24.3
39 22.9
40 15.5
41 19.9
42 10.2
43 9.8
44 8.3
45 11.1
46 22.2
47 15.5
<task times>
1 14
2 28
3 3
4 2
5 3
6 4
7 8
8 12
9 4
10 28
11 3
12 4
13 6
14 1
15 20
16 5
17 28
18 4
19 3
20 12
21 3
22 3
23 28
24 28
25 12
26 76
27 6
28 28
29 3
30 6
31 3
32 98
33 14
34 2
35 6
36 7
37 60
38 6
39 60
40 8
41 12
42 3
43 12
44 3
45 28
46 2
47 3
<Precedence relations>
1 2 1
1 32 1
2 3 1
2 4 1
5 6 1
5 32 1
8 9 1
8 10 1
9 11 1
9 32 1
10 11 1
10 12 1
13 14 1
14 19 1
15 16 1
16 17 1
17 18 1
18 20 1
18 22 1
18 32 1
18 47 1
19 26 1
20 21 1
22 23 1
22 24 1
23 25 1
24 25 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
32 33 1
33 34 1
33 35 1
34 36 1
35 36 1
36 37 1
36 43 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
43 44 1
44 45 1
45 46 1
<end>
