<number of tasks>
47
<cycle time>
106
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
6.00
<Recycling value>
1 9
2 11
3 53
4 45
5 46
6 48
7 49
8 31
9 46
10 9
11 38
12 46
13 53
14 35
15 12
16 43
17 30
18 32
19 36
20 27
21 17
22 15
23 35
24 39
25 6
26 23
27 8
28 20
29 41
30 14
31 7
32 12
33 49
34 40
35 16
36 34
37 40
38 21
39 20
40 11
41 39
42 39
43 9
44 22
45 8
46 15
47 54
<Cost of performing task>
1 7.6
2 13.6
3 29.9
4 26.4
5 23.9
6 28.3
7 24.2
8 10.5
9 27.8
10 24.2
11 8.2
12 16.9
13 24.9
14 23.3
15 22.0
16 10.6
17 22.8
18 16.5
19 11.3
20 21.5
21 27.4
22 21.1
23 25.3
24 15.0
25 8.3
26 22.9
27 28.8
28 29.1
29 18.3
30 12.3
31 16.1
32 7.5
33 16.9
34 10.7
35 8.0
36 9.8
37 25.7
38 19.0
39 24.0
40 16.8
41 13.7
42 17.5
43 14.4
44 29.9
45 23.4
46 29.1
47 24.5
<task times>
1 16
2 32
3 4
4 4
5 4
6 6
7 10
8 16
9 5
10 32
11 4
12 6
13 8
14 2
15 24
16 7
17 32
18 6
19 4
20 16
21 4
22 4
23 32
24 32
25 16
26 88
27 8
28 32
29 6
30 8
31 4
32 104
33 18
34 4
35 8
36 8
37 72
38 8
39 72
40 10
41 16
42 4
43 16
44 4
45 32
46 4
47 4
<Precedence relations>
1 2 1
1 32 1
2 3 1
2 4 1
5 6 1
5 32 1
8 9 1
8 10 1
9 11 1
9 32 1
10 11 1
10 12 1
13 14 1
14 19 1
15 16 1
16 17 1
17 18 1
18 20 1
18 22 1
18 32 1
18 47 1
19 26 1
20 21 1
22 23 1
22 24 1
23 25 1
24 25 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
32 33 1
33 34 1
33 35 1
34 36 1
35 36 1
36 37 1
36 43 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
43 44 1
44 45 1
45 46 1
<end>
