<number of tasks>
47
<cycle time>
120
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
6.00
<Recycling value>
1 45
2 21
3 23
4 22
5 38
6 51
7 53
8 39
9 13
10 14
11 38
12 39
13 46
14 37
15 41
16 51
17 6
18 23
19 42
20 15
21 25
22 27
23 17
24 32
25 40
26 28
27 23
28 48
29 28
30 44
31 23
32 18
33 8
34 17
35 26
36 31
37 42
38 43
39 17
40 22
41 24
42 16
43 27
44 49
45 34
46 14
47 33
<Cost of performing task>
1 10.4
2 14.1
3 26.8
4 21.5
5 9.1
6 14.0
7 21.5
8 27.5
9 17.7
10 29.4
11 21.3
12 18.3
13 19.6
14 27.5
15 22.8
16 27.5
17 6.9
18 12.1
19 8.6
20 14.0
21 28.6
22 12.2
23 24.7
24 18.6
25 17.3
26 29.2
27 6.2
28 9.7
29 10.3
30 18.1
31 6.4
32 13.1
33 11.2
34 26.5
35 25.8
36 25.9
37 17.4
38 6.6
39 8.7
40 24.8
41 14.4
42 17.9
43 25.8
44 15.0
45 29.3
46 6.1
47 10.8
<task times>
1 18
2 36
3 9
4 6
5 9
6 8
7 12
8 20
9 6
10 36
11 9
12 8
13 10
14 3
15 28
16 9
17 36
18 8
19 9
20 20
21 9
22 9
23 36
24 36
25 20
26 100
27 10
28 36
29 11
30 10
31 9
32 110
33 22
34 6
35 10
36 12
37 84
38 10
39 84
40 12
41 20
42 9
43 20
44 9
45 36
46 6
47 9
<Precedence relations>
1 2 1
1 32 1
2 3 1
2 4 1
5 6 1
5 32 1
8 9 1
8 10 1
9 11 1
9 32 1
10 11 1
10 12 1
13 14 1
14 19 1
15 16 1
16 17 1
17 18 1
18 20 1
18 22 1
18 32 1
18 47 1
19 26 1
20 21 1
22 23 1
22 24 1
23 25 1
24 25 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
32 33 1
33 34 1
33 35 1
34 36 1
35 36 1
36 37 1
36 43 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
43 44 1
44 45 1
45 46 1
<end>
