<number of tasks>
53
<cycle time>
2806
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
89.00
<Recycling value>
1 213
2 453
3 175
4 122
5 101
6 780
7 695
8 729
9 425
10 761
11 608
12 729
13 749
14 172
15 729
16 710
17 252
18 572
19 317
20 510
21 455
22 406
23 702
24 284
25 578
26 795
27 102
28 557
29 475
30 293
31 379
32 489
33 779
34 744
35 691
36 358
37 607
38 720
39 743
40 103
41 729
42 205
43 699
44 433
45 382
46 762
47 502
48 466
49 98
50 479
51 170
52 799
53 164
<Cost of performing task>
1 277.0
2 104.7
3 142.4
4 130.6
5 109.3
6 269.1
7 142.3
8 259.0
9 425.2
10 347.8
11 280.4
12 395.6
13 122.7
14 95.7
15 317.8
16 295.9
17 225.6
18 356.8
19 167.4
20 283.7
21 258.0
22 157.7
23 245.9
24 383.6
25 102.0
26 192.4
27 324.2
28 383.0
29 410.1
30 420.5
31 357.6
32 122.1
33 226.9
34 142.5
35 154.5
36 169.0
37 271.0
38 362.3
39 106.5
40 345.8
41 419.4
42 239.1
43 247.7
44 303.9
45 161.6
46 127.3
47 104.6
48 191.9
49 235.2
50 405.1
51 110.1
52 377.8
53 255.2
<task times>
1 971
2 142
3 142
4 142
5 103
6 96
7 99
8 1207
9 160
10 180
11 82
12 60
13 112
14 420
15 1556
16 236
17 259
18 125
19 601
20 80
21 80
22 70
23 89
24 89
25 105
26 330
27 132
28 69
29 99
30 70
31 70
32 158
33 191
34 70
35 53
36 50
37 125
38 353
39 70
40 128
41 65
42 1775
43 91
44 91
45 113
46 487
47 138
48 80
49 80
50 65
51 40
52 742
53 1085
<Precedence relations>
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
2 36 1
3 36 1
4 9 1
5 9 1
6 9 1
7 9 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
12 14 1
12 15 1
13 16 1
13 17 1
13 18 1
14 22 1
15 16 1
15 17 1
16 29 1
16 30 1
16 31 1
17 19 1
18 42 1
19 20 1
19 21 1
19 22 1
20 23 1
21 24 1
22 25 1
23 36 1
24 36 1
25 26 1
26 27 1
27 28 1
28 29 1
28 30 1
28 31 1
28 32 1
28 33 1
28 34 1
29 35 1
30 35 1
31 35 1
32 35 1
33 35 1
34 35 1
35 36 1
36 37 1
37 38 1
37 39 1
37 40 1
38 41 1
39 41 1
40 41 1
41 42 1
42 43 1
42 44 1
42 45 1
42 46 1
42 47 1
43 48 1
44 49 1
45 51 1
45 52 1
46 50 1
47 51 1
47 52 1
48 51 1
48 52 1
49 51 1
49 52 1
50 51 1
50 52 1
51 53 1
52 53 1
<end>
