<number of tasks>
70
<cycle time>
170
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
8.00
<Recycling value>
1 39
2 61
3 62
4 67
5 11
6 39
7 20
8 22
9 71
10 34
11 45
12 13
13 30
14 8
15 24
16 24
17 16
18 59
19 36
20 55
21 19
22 35
23 50
24 51
25 46
26 61
27 15
28 70
29 56
30 52
31 26
32 72
33 51
34 64
35 51
36 26
37 11
38 24
39 60
40 51
41 41
42 45
43 68
44 18
45 40
46 28
47 72
48 44
49 41
50 43
51 59
52 23
53 21
54 9
55 51
56 24
57 16
58 22
59 47
60 64
61 53
62 64
63 17
64 45
65 67
66 22
67 40
68 25
69 9
70 31
<Cost of performing task>
1 20.0
2 34.4
3 11.2
4 8.3
5 35.9
6 8.3
7 30.9
8 37.4
9 36.5
10 17.7
11 9.1
12 19.0
13 34.1
14 33.2
15 28.1
16 27.1
17 25.3
18 38.3
19 8.5
20 16.2
21 29.0
22 27.3
23 33.6
24 32.5
25 36.6
26 39.9
27 36.8
28 36.3
29 26.5
30 16.0
31 29.6
32 37.1
33 19.1
34 14.1
35 37.5
36 32.6
37 38.5
38 11.6
39 13.0
40 37.2
41 33.4
42 18.1
43 24.1
44 30.6
45 24.2
46 33.5
47 17.1
48 10.8
49 15.9
50 8.6
51 29.3
52 15.9
53 12.2
54 10.0
55 16.9
56 18.2
57 16.1
58 16.7
59 31.7
60 18.5
61 19.1
62 23.7
63 35.4
64 37.7
65 39.3
66 26.2
67 29.2
68 33.8
69 10.8
70 26.4
<task times>
1 17
2 66
3 54
4 52
5 6
6 88
7 21
8 128
9 68
10 70
11 85
12 21
13 134
14 135
15 94
16 90
17 50
18 143
19 19
20 54
21 50
22 40
23 73
24 12
25 152
26 42
27 45
28 74
29 26
30 11
31 31
32 50
33 102
34 46
35 35
36 40
37 2
38 1
39 3
40 13
41 16
42 25
43 21
44 43
45 30
46 83
47 89
48 56
49 59
50 43
51 11
52 26
53 44
54 121
55 38
56 68
57 22
58 7
59 16
60 32
61 25
62 27
63 156
64 28
65 15
66 26
67 18
68 72
69 23
70 27
<Precedence relations>
1 2 1
1 41 1
1 69 1
1 70 1
2 3 1
3 4 1
3 68 1
4 6 1
4 7 1
5 6 1
5 24 1
5 30 1
6 8 1
7 8 1
8 12 1
9 10 1
10 11 1
11 12 1
12 13 1
12 14 1
13 23 1
14 23 1
15 16 1
16 17 1
16 18 1
17 19 1
18 19 1
19 20 1
19 22 1
19 57 1
20 21 1
21 23 1
22 23 1
23 25 1
23 31 1
23 33 1
24 25 1
25 26 1
25 27 1
25 28 1
25 29 1
26 35 1
27 35 1
28 35 1
29 35 1
30 31 1
31 32 1
32 35 1
33 34 1
34 35 1
35 36 1
35 44 1
35 48 1
35 51 1
35 53 1
35 56 1
35 60 1
35 61 1
35 62 1
36 37 1
37 38 1
38 39 1
39 40 1
40 42 1
41 42 1
42 43 1
43 50 1
44 45 1
45 46 1
46 47 1
47 50 1
48 49 1
49 50 1
51 52 1
52 54 1
53 54 1
54 55 1
57 58 1
58 59 1
59 60 1
61 65 1
62 63 1
63 64 1
64 65 1
64 66 1
64 67 1
<end>
