<number of tasks>
94
<cycle time>
301
<Cost of running a workstation per unit time>
0.05
<Fix start-up cost of each workstation>
9.00
<Recycling value>
1 39
2 74
3 66
4 70
5 22
6 34
7 72
8 47
9 61
10 61
11 19
12 51
13 10
14 23
15 42
16 16
17 59
18 57
19 63
20 73
21 48
22 56
23 45
24 43
25 39
26 16
27 16
28 41
29 78
30 35
31 65
32 31
33 50
34 72
35 30
36 13
37 50
38 48
39 55
40 38
41 72
42 50
43 38
44 49
45 41
46 80
47 45
48 40
49 55
50 48
51 28
52 13
53 60
54 39
55 61
56 29
57 49
58 66
59 10
60 37
61 66
62 65
63 78
64 50
65 52
66 54
67 78
68 58
69 58
70 20
71 36
72 59
73 48
74 56
75 41
76 67
77 75
78 66
79 71
80 38
81 64
82 21
83 68
84 74
85 12
86 70
87 45
88 40
89 59
90 45
91 38
92 23
93 74
94 29
<Cost of performing task>
1 11.8
2 21.3
3 31.6
4 40.2
5 9.2
6 36.5
7 40.7
8 39.7
9 17.9
10 13.8
11 15.4
12 28.8
13 9.5
14 42.5
15 33.8
16 9.6
17 12.2
18 11.5
19 13.8
20 16.2
21 14.6
22 15.2
23 37.2
24 18.4
25 34.8
26 14.8
27 38.5
28 20.3
29 34.2
30 10.2
31 42.0
32 11.6
33 19.7
34 36.3
35 27.9
36 23.1
37 10.1
38 12.2
39 15.4
40 39.4
41 33.7
42 42.3
43 27.1
44 19.2
45 42.6
46 21.9
47 9.2
48 35.9
49 33.0
50 44.4
51 12.0
52 23.5
53 38.2
54 40.9
55 24.9
56 36.2
57 23.2
58 9.8
59 35.2
60 23.6
61 33.7
62 20.3
63 19.1
64 27.8
65 23.7
66 9.1
67 29.9
68 33.9
69 40.1
70 28.9
71 11.0
72 33.2
73 27.7
74 38.7
75 42.6
76 22.4
77 16.3
78 18.8
79 38.8
80 23.3
81 34.6
82 43.4
83 43.7
84 38.2
85 33.0
86 26.8
87 15.9
88 23.8
89 13.4
90 30.6
91 26.8
92 12.8
93 13.8
94 29.2
<task times>
1 158
2 42
3 17
4 24
5 71
6 66
7 50
8 55
9 30
10 28
11 113
12 114
13 57
14 65
15 15
16 11
17 10
18 19
19 8
20 17
21 57
22 40
23 17
24 11
25 17
26 27
27 17
28 18
29 16
30 18
31 50
32 18
33 13
34 21
35 63
36 8
37 63
38 9
39 20
40 72
41 30
42 69
43 27
44 9
45 41
46 38
47 76
48 31
49 11
50 29
51 48
52 8
53 171
54 48
55 43
56 18
57 94
58 9
59 19
60 24
61 8
62 34
63 62
64 12
65 8
66 47
67 27
68 18
69 52
70 65
71 72
72 51
73 58
74 53
75 76
76 93
77 86
78 76
79 9
80 14
81 55
82 32
83 22
84 35
85 63
86 59
87 149
88 40
89 24
90 123
91 25
92 115
93 103
94 54
<Precedence relations>
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
2 11 1
2 17 1
3 12 1
4 11 1
4 16 1
5 11 1
5 13 1
5 16 1
5 18 1
6 11 1
6 13 1
6 15 1
6 19 1
7 42 1
8 29 1
9 11 1
10 19 1
10 37 1
10 48 1
10 50 1
11 14 1
12 20 1
12 52 1
12 61 1
13 82 1
14 21 1
14 22 1
14 23 1
14 24 1
14 25 1
14 26 1
14 27 1
14 28 1
14 29 1
14 30 1
14 31 1
14 32 1
15 81 1
16 75 1
17 82 1
18 75 1
19 75 1
20 78 1
21 39 1
21 40 1
21 41 1
21 53 1
21 60 1
21 71 1
22 38 1
22 49 1
22 58 1
22 72 1
23 34 1
23 35 1
24 37 1
24 44 1
25 33 1
25 56 1
25 57 1
25 60 1
25 63 1
25 65 1
25 73 1
26 41 1
26 43 1
27 54 1
27 55 1
27 56 1
27 58 1
27 62 1
28 33 1
28 35 1
28 40 1
28 43 1
28 49 1
28 51 1
28 52 1
28 54 1
29 75 1
30 36 1
30 42 1
30 59 1
31 74 1
32 36 1
32 44 1
32 45 1
32 46 1
32 47 1
32 48 1
32 50 1
32 60 1
32 69 1
33 78 1
34 78 1
35 78 1
36 82 1
37 61 1
37 62 1
37 64 1
37 66 1
37 67 1
37 68 1
37 69 1
37 70 1
37 71 1
37 72 1
37 73 1
38 82 1
39 82 1
40 78 1
41 78 1
42 74 1
43 78 1
44 75 1
45 75 1
46 75 1
46 76 1
47 75 1
48 75 1
49 78 1
50 75 1
51 78 1
52 78 1
53 76 1
53 77 1
54 78 1
55 77 1
56 77 1
57 76 1
57 77 1
58 77 1
59 82 1
60 77 1
61 77 1
62 77 1
63 77 1
64 74 1
65 74 1
66 75 1
66 76 1
67 74 1
68 82 1
69 75 1
69 77 1
70 76 1
70 77 1
71 76 1
72 76 1
73 77 1
74 82 1
75 82 1
76 82 1
77 78 1
78 79 1
78 80 1
79 81 1
80 81 1
81 82 1
82 83 1
83 84 1
83 85 1
84 86 1
85 86 1
86 87 1
87 88 1
88 89 1
88 90 1
89 92 1
90 91 1
90 93 1
92 94 1
<end>
